chunk_id,document_id,text,source_file,title,so_ky_hieu,loai_van_ban,co_quan_ban_hanh,ngay_ban_hanh,chapter,section,article,citation,allowed_roles
doc_agr_at01_01,agr_at01,"Quy định này áp dụng đối với toàn bộ cán bộ công nhân viên thuộc chi nhánh, phòng giao dịch Agribank trong công tác giao nhận, kiểm đếm, bảo quản và vận chuyển tiền mặt, tài sản quý, giấy tờ có giá. Nghiêm cấm mọi hành vi mang chìa khóa kho tiền ra khỏi trụ sở làm việc.",agribank_internal_policies.csv,"Quy định nội bộ số 100/QĐ-NHNO-AT về Giao nhận, bảo quản, vận chuyển tiền mặt và tài sản quý Agribank",100/QĐ-NHNO-AT,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),15/03/2024,Chương I QUY ĐỊNH CHUNG,Mục 1. Phạm vi áp dụng,Điều 1. Phạm vi và đối tượng tuân thủ,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 1 | doc_agr_at01_01],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_at01_02,agr_at01,"Khi tiến hành vận chuyển tiền mặt có giá trị từ 3 tỷ đồng trở lên hoặc tuyến đường di chuyển liên tỉnh, Agribank bắt buộc bố trí xe ô tô bọc thép chuyên dùng và 02 bảo vệ chuyên trách trang bị công cụ hỗ trợ. Hạn mức vận chuyển không quá 50 tỷ đồng mỗi chuyến.",agribank_internal_policies.csv,"Quy định nội bộ số 100/QĐ-NHNO-AT về Giao nhận, bảo quản, vận chuyển tiền mặt và tài sản quý Agribank",100/QĐ-NHNO-AT,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),15/03/2024,Chương II QUY TRÌNH VẬN CHUYỂN,Mục 2. An toàn vận chuyển,Điều 12. Xe bọc thép và phương án bảo vệ,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 12 | doc_agr_at01_02],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_at01_03,agr_at01,"Quy trình kiểm đếm và phân loại tiền không đủ tiêu chuẩn lưu thông tại Agribank phải thực hiện dưới camera giám sát 24/7. Tiền nghi giả phải lập biên bản thu giữ và niêm phong trong ngày, báo cáo Ngân hàng Nhà nước chi nhánh sở tại.",agribank_internal_policies.csv,"Quy định nội bộ số 100/QĐ-NHNO-AT về Giao nhận, bảo quản, vận chuyển tiền mặt và tài sản quý Agribank",100/QĐ-NHNO-AT,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),15/03/2024,Chương III THU ĐỔI TIỀN KHÔNG ĐỦ TIÊU CHUẨN LƯU THÔNG,Mục 1. Xử lý tiền nghi giả,Điều 25. Kiểm đếm và niêm phong tiền nghi giả,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 25 | doc_agr_at01_03],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_at01_04,agr_at01,"Ban Quản lý kho tiền tại mỗi chi nhánh Agribank bao gồm 3 thành viên bắt buộc: Giám đốc (hoặc Phó Giám đốc ủy quyền), Kế toán trưởng (hoặc Phụ trách kế toán) và Thủ kho tiền. Mọi lần mở cửa gian kho tiền phải có mặt đầy đủ 3 thành viên.",agribank_internal_policies.csv,"Quy định nội bộ số 100/QĐ-NHNO-AT về Giao nhận, bảo quản, vận chuyển tiền mặt và tài sản quý Agribank",100/QĐ-NHNO-AT,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),15/03/2024,Chương IV AN TOÀN KHO TIỀN,Mục 2. Chế độ Ban Quản lý kho,Điều 30. Trách nhiệm của Ban Quản lý kho tiền,[100/QĐ-NHNO-AT - Quy định nội bộ số 100/QĐ-NHNO-AT | Điều 30 | doc_agr_at01_04],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_car02_01,agr_car02,"Tỷ lệ an toàn vốn tối thiểu (CAR) của Agribank được quy định duy trì ở mức tối thiểu 8.5%, cao hơn 0.5% so với quy định chung 8% tại Thông tư 41/2016/TT-NHNN. Bộ phận Quản lý Rủi ro chịu trách nhiệm tính toán CAR theo tháng và quý.",agribank_internal_policies.csv,Quy định nội bộ số 250/QĐ-NHNO-QLRR về Quản lý tỷ lệ an toàn vốn và định mức rủi ro Agribank,250/QĐ-NHNO-QLRR,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),20/06/2024,Chương I TỶ LỆ AN TOÀN VỐN,Mục 1. Quy định CAR nội bộ,Điều 5. Tỷ lệ an toàn vốn nội bộ tiêu chuẩn,[250/QĐ-NHNO-QLRR - Quy định nội bộ số 250/QĐ-NHNO-QLRR | Điều 5 | doc_agr_car02_01],"[""Admin"", ""Risk_Manager""]"
doc_agr_car02_02,agr_car02,Trọng số rủi ro đối với tài sản có là khoản vay bất động sản kinh doanh áp dụng mức 150% đến 200% tùy theo tỷ lệ LTV. Các khoản vay nông nghiệp nông thôn được ưu đãi hệ số rủi ro 50% theo định hướng phát triển của Agribank.,agribank_internal_policies.csv,Quy định nội bộ số 250/QĐ-NHNO-QLRR về Quản lý tỷ lệ an toàn vốn và định mức rủi ro Agribank,250/QĐ-NHNO-QLRR,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),20/06/2024,Chương II TÍNH TÀI SẢN CÓ RỦI RO,Mục 2. Trọng số rủi ro cho vay,Điều 18. Hệ số rủi ro danh mục tín dụng,[250/QĐ-NHNO-QLRR - Quy định nội bộ số 250/QĐ-NHNO-QLRR | Điều 18 | doc_agr_car02_02],"[""Admin"", ""Risk_Manager""]"
doc_agr_car02_03,agr_car02,"Định kỳ trước ngày 15 hàng tháng, Agribank trích nộp đầy đủ phí trích nộp Quỹ bảo đảm an toàn hệ thống theo tỷ lệ 0.05% trên tổng dư nợ cho vay theo hướng dẫn nghiệp vụ Quỹ an toàn hệ thống.",agribank_internal_policies.csv,Quy định nội bộ số 250/QĐ-NHNO-QLRR về Quản lý tỷ lệ an toàn vốn và định mức rủi ro Agribank,250/QĐ-NHNO-QLRR,Quy định nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),20/06/2024,Chương III NGHĨA VỤ TRÍCH NỘP QUỸ AN TOÀN,Mục 1. Trích nộp lệ phí Quỹ,Điều 32. Trách nhiệm trích nộp phí bảo đảm an toàn,[250/QĐ-NHNO-QLRR - Quy định nội bộ số 250/QĐ-NHNO-QLRR | Điều 32 | doc_agr_car02_03],"[""Admin"", ""Risk_Manager""]"
doc_agr_td03_01,agr_td03,Thẩm quyền phán quyết tín dụng của Giám đốc Chi nhánh Agribank loại I là tối đa 30 tỷ đồng đối với khách hàng doanh nghiệp và 10 tỷ đồng đối với khách hàng cá nhân. Các khoản vay vượt thẩm quyền phải trình Hội đồng Thẩm định Tín dụng Trụ sở chính.,agribank_internal_policies.csv,Quy chế tín dụng nội bộ số 315/QC-NHNO-TD về Phán quyết và Phân cấp ủy quyền cho vay tại Agribank,315/QC-NHNO-TD,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),10/01/2024,Chương I HẠN MỨC PHÁN QUYẾT TÍN DỤNG,Mục 1. Ủy quyền cho vay Chi nhánh,Điều 8. Hạn mức duyệt vay Giám đốc Chi nhánh,[315/QC-NHNO-TD - Quy chế tín dụng nội bộ số 315/QC-NHNO-TD | Điều 8 | doc_agr_td03_01],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_td03_02,agr_td03,"Tất cả các khoản vay ngắn hạn phục vụ sản xuất nông nghiệp không có tài sản bảo đảm theo Nghị định 55/2015/NĐ-CP được Agribank giải ngân lên tới 100 triệu đồng đối với cá nhân, hộ gia đình nông dân trên cơ sở xác nhận của Ủy ban nhân dân xã.",agribank_internal_policies.csv,Quy chế tín dụng nội bộ số 315/QC-NHNO-TD về Phán quyết và Phân cấp ủy quyền cho vay tại Agribank,315/QC-NHNO-TD,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),10/01/2024,Chương II CHO VAY PHÁT TRIỂN NÔNG NGHIỆP,Mục 2. Cho vay không tài sản bảo đảm,Điều 22. Hạn mức cho vay nông dân không thế chấp,[315/QC-NHNO-TD - Quy chế tín dụng nội bộ số 315/QC-NHNO-TD | Điều 22 | doc_agr_td03_02],"[""Admin"", ""Risk_Manager"", ""Staff""]"
doc_agr_td03_03,agr_td03,Cán bộ tín dụng Agribank thực hiện kiểm tra sử dụng vốn vay định kỳ 30 ngày sau khi giải ngân đối với khoản vay sản xuất kinh doanh và 60 ngày đối với khoản vay tiêu dùng. Nếu phát hiện sai mục đích phải thu hồi nợ trước hạn.,agribank_internal_policies.csv,Quy chế tín dụng nội bộ số 315/QC-NHNO-TD về Phán quyết và Phân cấp ủy quyền cho vay tại Agribank,315/QC-NHNO-TD,Quy chế nội bộ,Ngân hàng Nông nghiệp và Phát triển Nông thôn Việt Nam (Agribank),10/01/2024,Chương III GIÁM SÁT VÀ KIỂM TRA NỢ VAY,Mục 1. Kiểm tra sau khi cho vay,Điều 35. Thời hạn và quy trình kiểm tra nợ vay,[315/QC-NHNO-TD - Quy chế tín dụng nội bộ số 315/QC-NHNO-TD | Điều 35 | doc_agr_td03_03],"[""Admin"", ""Risk_Manager"", ""Staff""]"
