id,name,category,description,cause,event,impact,inherent_level,residual_level,owner_unit_id,data_origin,verification_status
RR-001,Giao dịch chuyển tiền bị hạch toán sai,Rui ro van hanh,Đối soát giao dịch cuối ngày không đầy đủ,Thiếu đối chiếu giữa hệ thống thanh toán và sổ cái,Giao dịch được ghi nhận sai trạng thái,Tổn thất tài chính và khiếu nại khách hàng,Cao,Trung binh,DV-OPS,SYNTHETIC,VERIFIED
RR-002,Phê duyệt tín dụng vượt thẩm quyền,Rui ro tin dung,Kiểm tra hạn mức phê duyệt không hiệu lực,Phân quyền trên hệ thống không cập nhật,Khoản vay được phê duyệt vượt thẩm quyền,Tăng nợ xấu và vi phạm quy định,Cao,Trung binh,DV-CREDIT,SYNTHETIC,VERIFIED
RR-003,Giải ngân thiếu hồ sơ bảo đảm,Rui ro tin dung,Hồ sơ giải ngân chưa đủ điều kiện,Kiểm tra điều kiện tiên quyết bị bỏ qua,Giải ngân khi thiếu chứng từ bắt buộc,Khó thu hồi nợ và vi phạm quy trình,Cao,Trung binh,DV-CREDIT,SYNTHETIC,VERIFIED
RR-004,Lộ thông tin khách hàng,Rui ro cong nghe thong tin,Quyền truy cập dữ liệu không được kiểm soát phù hợp,Cấp quyền vượt nhu cầu công việc,Dữ liệu khách hàng bị truy cập hoặc chia sẻ trái phép,Vi phạm bảo mật và tổn hại uy tín,Cao,Trung binh,DV-IT,SYNTHETIC,VERIFIED
RR-005,Gián đoạn dịch vụ ngân hàng số,Rui ro cong nghe thong tin,Hệ thống thanh toán trực tuyến không sẵn sàng,Kế hoạch năng lực và dự phòng chưa đầy đủ,Dịch vụ ngân hàng số bị gián đoạn,Mất doanh thu và khiếu nại khách hàng,Cao,Trung binh,DV-IT,SYNTHETIC,VERIFIED
RR-006,Gian lận giả mạo yêu cầu chuyển tiền,Rui ro gian lan,Nhận diện và xác thực yêu cầu chưa đủ mạnh,Nhân viên không xác minh kênh liên lạc,Yêu cầu chuyển tiền giả mạo được xử lý,Tổn thất tài chính,Cao,Trung binh,DV-OPS,SYNTHETIC,VERIFIED
RR-007,Chậm báo cáo giao dịch đáng ngờ,Rui ro tuan thu,Theo dõi cảnh báo AML không kịp thời,Khối lượng cảnh báo vượt năng lực xử lý,Báo cáo giao dịch đáng ngờ nộp muộn,Chế tài và rủi ro pháp lý,Cao,Trung binh,DV-COMPLIANCE,SYNTHETIC,VERIFIED
RR-008,Định giá tài sản bảo đảm không chính xác,Rui ro tin dung,Dữ liệu định giá không độc lập hoặc hết hạn,Thiếu rà soát lại giá trị tài sản,Tài sản bảo đảm được định giá cao hơn thực tế,Tăng tổn thất khi xử lý nợ,Cao,Trung binh,DV-CREDIT,SYNTHETIC,VERIFIED
RR-009,Không phát hiện giao dịch bất thường,Rui ro gian lan,Luật phát hiện gian lận không được cập nhật,Ngưỡng cảnh báo không phù hợp,Giao dịch nghi ngờ không bị chặn kịp thời,Tổn thất tài chính và uy tín,Cao,Trung binh,DV-OPS,SYNTHETIC,VERIFIED
RR-010,Sai lệch số liệu báo cáo quản trị,Rui ro bao cao,Dữ liệu nguồn không được đối chiếu,Thay đổi dữ liệu không có kiểm soát,Báo cáo quản trị có số liệu sai,Quyết định quản trị sai lệch,Trung binh,Thap,DV-FINANCE,SYNTHETIC,VERIFIED
RR-011,Nhà cung cấp công nghệ không đáp ứng cam kết,Rui ro ben thu ba,Giám sát SLA nhà cung cấp không đầy đủ,Điều khoản hợp đồng và chỉ số SLA không được theo dõi,Dịch vụ thuê ngoài suy giảm chất lượng,Gián đoạn dịch vụ và tổn hại uy tín,Trung binh,Trung binh,DV-IT,SYNTHETIC,VERIFIED
RR-012,Xung đột lợi ích trong mua sắm,Rui ro dao duc,Quy trình lựa chọn nhà cung cấp thiếu độc lập,Thiếu kê khai và rà soát xung đột lợi ích,Quyết định mua sắm không khách quan,Tăng chi phí và rủi ro pháp lý,Trung binh,Thap,DV-PROCUREMENT,SYNTHETIC,VERIFIED
